SubmissionId,LeadId,SubChannelId,SubChannelName,MarketingUnitId,MUName,TrackId,CampaignName,ClientRelationshipId,CountAgainstCap
13490225,16907615,15,Paid Search,28,Head Terms,0C22F183-2722-4EC4-A837-B569230A9638,ppc_google_el_headterm_MPE,8657,1
13490222,16907614,20,Clicks,211,Clicks Partners,46178860-AC5C-4174-AF88-32FB656BA352,Renuant_generalcampaign,8195,1
13490224,16907613,15,Paid Search,28,Head Terms,61FC0C2A-33E6-439A-9B7F-1C4119B6936A,ppc_google_ec_generic_ht2011_main_mpe_s4,8657,1
13490220,16907612,7,GDN,63,Targeted Campus,C4D199A8-8899-4DF9-BB14-48B7618FFDA3,ppcd_gdn_ec_grants_campusonly_mpe,82,1
13490223,16907611,5,Traditional Display,74,Campus Explorer,5891F0C4-2979-4E38-B27F-388C76E0A6B4,display_ec_campusexplorer_medical_mpe,23,1
13490223,16907610,5,Traditional Display,74,Campus Explorer,5891F0C4-2979-4E38-B27F-388C76E0A6B4,display_ec_campusexplorer_medical_mpe,2,1
13490222,16907609,20,Clicks,211,Clicks Partners,46178860-AC5C-4174-AF88-32FB656BA352,Renuant_generalcampaign,8655,1
13490376,16907788,5,Traditional Display,74,Campus Explorer,DA8FB2F5-0731-4782-8600-8EAE0E55EF60,display_emd_campusexplorer_nursing_inventorycheck_mpe,23,1
13490376,16907789,5,Traditional Display,74,Campus Explorer,DA8FB2F5-0731-4782-8600-8EAE0E55EF60,display_emd_campusexplorer_nursing_inventorycheck_mpe,2,1
13490378,16907791,5,Traditional Display,222,MediaAlpha,F6FC8CBE-3B61-4EAA-8309-E43C55AC300A,display_emd_mediaalpha_DMS_NM_business_elder_mpe,22,1
13490378,16907792,5,Traditional Display,222,MediaAlpha,F6FC8CBE-3B61-4EAA-8309-E43C55AC300A,display_emd_mediaalpha_DMS_NM_business_elder_mpe,8714,1
13490379,16907794,15,Paid Search,45,GradSchools,459C4E36-1DF3-4B8E-B347-0376DC5BCEFD,ppc_google_gs_masters_partner_sitelink,71,1
13490379,16907795,15,Paid Search,45,GradSchools,459C4E36-1DF3-4B8E-B347-0376DC5BCEFD,ppc_google_gs_masters_partner_sitelink,2,1
13490380,16907796,7,GDN,63,Targeted Campus,30360ADE-1615-442B-A9B5-0189DE5DC878,ppcd_gdn_ec_grants_campusonly,23,1
13490373,16907797,15,Paid Search,44,FinancialAidV2,786B3A68-E875-4919-9CD3-6B3858C5F4F8,ppc_google_ec_newfinaid_fafsa_RLSA_mpe,82,1
13490382,16907798,15,Paid Search,44,FinancialAidV2,786B3A68-E875-4919-9CD3-6B3858C5F4F8,ppc_google_ec_newfinaid_fafsa_RLSA_mpe,8409,1
13490378,16907799,5,Traditional Display,222,MediaAlpha,F6FC8CBE-3B61-4EAA-8309-E43C55AC300A,display_emd_mediaalpha_DMS_NM_business_elder_mpe,8195,1
13490385,16907801,15,Paid Search,44,FinancialAidV2,117793E1-A601-47FF-ACDF-DA59F1F81A2E,ppc_google_ec_newfinaid_loan_mpe,23,1
13490387,16907802,20,Clicks,168,Clicks,F9319C4A-61B1-424A-B818-5870DE2EEAE8,post.degree.today_eddy,8680,1
13490388,16907803,15,Paid Search,44,FinancialAidV2,117793E1-A601-47FF-ACDF-DA59F1F81A2E,ppc_google_ec_newfinaid_loan_mpe,22,1
13490389,16907804,15,Paid Search,166,FinancialAid Premier,3A087174-A835-4B36-811F-E82963F3D203,ppc_google_ec_newfinaid_grants_mpe,8409,1
13490393,16907805,5,Traditional Display,74,Campus Explorer,DA8FB2F5-0731-4782-8600-8EAE0E55EF60,display_emd_campusexplorer_nursing_inventorycheck_mpe,8524,0
13490395,16907806,15,Paid Search,44,FinancialAidV2,786B3A68-E875-4919-9CD3-6B3858C5F4F8,ppc_google_ec_newfinaid_fafsa_RLSA_mpe,23,1
13490400,16907808,15,Paid Search,44,FinancialAidV2,786B3A68-E875-4919-9CD3-6B3858C5F4F8,ppc_google_ec_newfinaid_fafsa_RLSA_mpe,22,1
13490400,16907810,15,Paid Search,44,FinancialAidV2,786B3A68-E875-4919-9CD3-6B3858C5F4F8,ppc_google_ec_newfinaid_fafsa_RLSA_mpe,8568,1
13490400,16907811,15,Paid Search,44,FinancialAidV2,786B3A68-E875-4919-9CD3-6B3858C5F4F8,ppc_google_ec_newfinaid_fafsa_RLSA_mpe,8568,1
13490401,16907812,5,Traditional Display,222,MediaAlpha,71630B4E-0173-4669-AEB8-0040FCC98747,display_ftc_mediaalpha_DMS_TY_business,8505,1
13490406,16907813,15,Paid Search,28,Head Terms,FCCB8784-4B51-49F5-B0DC-68CD641556FA,ppc_google_ec_generic_ht2011_short_citizen_question,2,1
13490406,16907814,15,Paid Search,28,Head Terms,FCCB8784-4B51-49F5-B0DC-68CD641556FA,ppc_google_ec_generic_ht2011_short_citizen_question,8657,1
13490406,16907815,15,Paid Search,28,Head Terms,FCCB8784-4B51-49F5-B0DC-68CD641556FA,ppc_google_ec_generic_ht2011_short_citizen_question,8655,1
13490406,16907816,15,Paid Search,28,Head Terms,FCCB8784-4B51-49F5-B0DC-68CD641556FA,ppc_google_ec_generic_ht2011_short_citizen_question,91,1
13490406,16907817,15,Paid Search,28,Head Terms,FCCB8784-4B51-49F5-B0DC-68CD641556FA,ppc_google_ec_generic_ht2011_short_citizen_question,8524,1
13490406,16907818,15,Paid Search,28,Head Terms,FCCB8784-4B51-49F5-B0DC-68CD641556FA,ppc_google_ec_generic_ht2011_short_citizen_question,2707,1
13490406,16907819,15,Paid Search,28,Head Terms,FCCB8784-4B51-49F5-B0DC-68CD641556FA,ppc_google_ec_generic_ht2011_short_citizen_question,8679,1
13490411,16907820,15,Paid Search,24,Degree,D503DE4F-BCE6-44E5-A6DA-46D0AC650D2A,ppc_google_ec_degree_cna_new_loan_test,22,1
13490411,16907822,15,Paid Search,24,Degree,D503DE4F-BCE6-44E5-A6DA-46D0AC650D2A,ppc_google_ec_degree_cna_new_loan_test,8568,1
13490411,16907823,15,Paid Search,24,Degree,D503DE4F-BCE6-44E5-A6DA-46D0AC650D2A,ppc_google_ec_degree_cna_new_loan_test,8568,1
13490412,16907824,20,Clicks,168,Clicks,C530057B-7D00-42AF-BF28-214C5A4369FF,post.degree.today_triad,8680,1
13490415,16907825,20,Clicks,168,Clicks,2EB5AEF0-FB7E-4620-9C48-9CA0E9CBC050,post.degree.today_DMS,8680,1
13490413,16907826,15,Paid Search,169,General New Kaplan Allow,4B43882A-CAB1-4C34-A5CC-D979CC7301F9,ppc_google_ec_generic_general_new_certificate_mpe,8657,1
13490417,16907827,15,Paid Search,24,Degree,953324B4-7555-4A3D-8C8D-3DC32FED0D3D,ppc_google_ec_degree_education_teaching_match1plus_mpe,8655,1
13490419,16907829,5,Traditional Display,74,Campus Explorer,5891F0C4-2979-4E38-B27F-388C76E0A6B4,display_ec_campusexplorer_medical_mpe,8409,1
13490421,16907830,20,Clicks,168,Clicks,F9319C4A-61B1-424A-B818-5870DE2EEAE8,post.degree.today_eddy,8680,1
13490420,16907831,15,Paid Search,166,FinancialAid Premier,2606EC44-D752-4D62-9B99-9340407043C8,ppc_google_ec_newfinaid_federal_sitelink_nochat_RLSA,91,1
13490420,16907832,15,Paid Search,166,FinancialAid Premier,2606EC44-D752-4D62-9B99-9340407043C8,ppc_google_ec_newfinaid_federal_sitelink_nochat_RLSA,8655,1
